ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION X (°),ORIENTATION Y (°),ORIENTATION Z (°),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.8829,-9.4625,1.0331,0.8871,-9.6962,1.17,-0.0365,0.2102,-0.1411,-0.0358,-0.0205,0.0176,1307.0,-5.1,30.24,-28.8,212.24,81.31,-37.0,2.0,7.74,,,,NaN,,,,0 / 0,3,2014-12-14 11:38:54:577
0.9475,-9.4768,1.0786,0.8832,-9.6986,1.1524,0.0202,0.242,-0.0302,-0.072,-0.0088,0.0219,1307.0,-4.92,30.66,-28.62,212.24,81.31,-37.0,2.0,1.014,,,,NaN,,,,0 / 0,53,2014-12-14 11:38:54:627
0.9571,-9.7929,1.5526,0.8691,-9.7028,1.1278,0.088,-0.0901,0.4248,-0.039,-0.0259,0.023,1307.0,-5.28,31.02,-28.62,212.86,81.57,-37.71,2.0,1.014,,,,NaN,,,,0 / 0,103,2014-12-14 11:38:54:677
0.9523,-9.5391,1.4521,0.8748,-9.701,1.1389,0.0775,0.1619,0.3132,-0.0081,-0.0525,0.0017,1307.0,-5.64,30.66,-28.86,210.6,81.58,-37.53,2.0,1.014,,,,NaN,,,,0 / 0,153,2014-12-14 11:38:54:727
0.811,-9.678,1.1959,0.8633,-9.7016,1.1422,-0.0965,0.2038,-0.0976,-0.0092,-0.0408,0.0208,1317.0,-5.46,30.9,-28.68,212.31,81.61,-37.08,2.0,1.014,,,,NaN,,,,0 / 0,203,2014-12-14 11:38:54:777
0.9307,-9.5535,0.8966,0.8634,-9.7062,1.1025,0.0492,0.1438,-0.3196,-0.0443,-0.0642,6.0E-4,1317.0,-5.4,31.02,-28.62,212.31,81.61,-37.08,2.0,1.014,,,,NaN,,,,0 / 0,253,2014-12-14 11:38:54:827
1.0074,-9.4481,1.0116,0.8721,-9.7076,1.0829,0.1353,0.2295,-0.0329,-0.0539,-0.0536,-0.0058,1317.0,-5.4,31.02,-28.32,213.1,81.79,-38.07,2.0,1.014,,,,NaN,,,,0 / 0,303,2014-12-14 11:38:54:877
0.9092,-9.4625,0.99,0.8728,-9.7085,1.0748,0.0364,0.246,-0.0848,-0.0688,-0.0472,0.0112,1317.0,-5.58,30.84,-27.96,211.89,81.88,-39.08,2.0,1.014,,,,NaN,,,,0 / 0,353,2014-12-14 11:38:54:927
0.811,-9.5008,1.1815,0.8643,-9.7115,1.0551,-0.0533,0.2107,0.1264,-0.0347,-0.0877,-0.0015,1317.0,-7.14,30.48,-27.9,209.64,82.01,-39.32,2.0,6.841,,,,NaN,,,,0 / 0,403,2014-12-14 11:38:54:977
0.9427,-9.5415,0.844,0.8787,-9.7131,1.0267,0.064,0.1716,-0.1827,-0.0422,-0.0163,-0.0122,1317.0,-7.86,30.66,-27.6,208.92,82.08,-40.56,2.0,6.841,,,,NaN,,,,0 / 0,453,2014-12-14 11:38:55:027
1.0193,-9.6229,0.8033,0.882,-9.7155,1.0014,0.1374,0.0926,-0.1981,-0.0784,-0.0056,0.0102,1317.0,-6.96,30.9,-28.14,208.92,82.08,-40.56,2.0,6.841,,,,NaN,,,,0 / 0,503,2014-12-14 11:38:55:077
0.8637,-9.3763,0.7147,0.8884,-9.723,0.9194,-0.0247,0.3467,-0.2047,-0.0944,-0.0237,0.0038,1317.0,-5.88,30.9,-28.26,215.73,82.35,-42.75,2.0,6.841,,,,NaN,,,,0 / 0,553,2014-12-14 11:38:55:127
0.6937,-9.7426,1.0594,0.8835,-9.7279,0.8713,-0.0892,0.0619,0.0444,-0.1679,0.0381,-0.0015,1317.0,-6.48,30.84,-27.24,218.13,82.73,-45.4,2.0,6.841,,,,NaN,,,,0 / 0,604,2014-12-14 11:38:55:178
